Country,GDP (constant 2005 US$),GDP per capita (constant 2005 US$),"Population, total","Life expectancy at birth, female (years)","Literacy rate, adult total (% of people ages 15 and above)","Malnutrition prevalence, weight for age (% of children under 5)","Hospital beds (per 1,000 people)","Health expenditure, total (% of GDP)"
Afghanistan,10243250246,360.7056151,28397812,60.877,..,..,0.4,8.652738189
Albania,10725150216,3754.41999,2856673,80.149,..,..,..,5.533994922
Algeria,1.17E+11,3143.629138,37062820,72.229,..,..,..,4.16944066
American Samoa,..,..,55636,..,..,..,..,..
Andorra,..,..,77907,..,..,..,..,7.20083028
Angola,50371160616,2576.64541,19549124,52.138,..,..,..,3.408258337
Antigua and Barbuda,1012173532,11603.10355,87233,77.795,..,..,2.2,5.651653829
Argentina,2.94E+11,..,40374224,79.462,..,..,4.5,8.187739893
Armenia,5918216827,1997.038912,2963496,77.657,..,5.300000191,..,4.562259064
Aruba,..,..,101597,77.429,96.82263947,..,..,..
Australia,7.97E+11,36195.05734,22031800,84,..,..,3.9,8.948052459
Austria,3.26E+11,38803.23579,8389771,83.2,..,..,7.63,11.6407908
Azerbaijan,28310397707,3126.724059,9054332,73.609,99.77114105,..,..,5.333600097
"Bahamas, The",7575468595,21013.89909,360498,77.705,..,..,3.1,7.432148406
Bahrain,20928102320,16722.24126,1251513,77.048,94.55679321,..,..,4.264941557
Bangladesh,81471733197,539.0999313,151125475,70.229,..,..,..,3.693893006
Barbados,4033125825,14383.67817,280396,77.247,..,..,6.6,6.674495002
Belarus,42955347354,4526.380122,9490000,76.5,..,..,..,5.554204093
Belgium,4.00E+11,36664.20938,10920272,83,..,..,6.5,10.50304039
Belize,1277265951,4138.971633,308595,76.295,..,..,1.2,5.840052163
Benin,5230812508,550.0445443,9509798,60.146,..,..,0.5,4.347927698
Bermuda,4975071875,76393.83138,65124,82.08,..,..,..,..
Bhutan,1288216614,1796.82876,716939,67.312,..,12.80000019,..,4.079322688
Bolivia,11954060130,1176.974475,10156601,68.537,..,..,..,5.469859604
Bosnia and Herzegovina,12803068421,3328.992402,3845929,78.445,..,..,3.5,9.800258356
Botswana,12116816309,6152.726373,1969341,45.924,..,..,1.8,5.642683751
Brazil,1.10E+12,5618.3246,195210154,76.779,90.37918091,..,2.4,9.008203065
Brunei Darussalam,9849702194,24589.27724,400569,79.956,..,..,..,2.733184125
Bulgaria,32991740544,4460.996404,7395599,77.2,..,..,6.5,7.58041843
Burkina Faso,7105465610,457.2288132,15540284,55.584,..,26.20000076,0.4,7.359635357
Burundi,1391766915,150.7423534,9232753,54.366,..,29.10000038,..,8.83916631
Cabo Verde,1291490222,2648.661963,487601,77.869,..,..,2.1,4.257804561
Cambodia,8693197236,605.1680468,14364931,73.379,..,29,0.84,5.820001828
Cameroon,19209829593,931.415347,20624343,54.752,71.29050446,..,1.3,5.256415118
Canada,1.24E+12,36466.81511,34005274,83.162,..,..,2.7,11.37375836
Cayman Islands,..,..,55509,..,..,..,..,..
Central African Republic,1895403785,435.7329213,4349921,49.916,36.75260925,..,..,3.871587605
Chad,8425171572,718.8233934,11720781,50.595,..,..,..,4.018332844
Channel Islands,..,..,159518,81.974,..,..,..,..
Chile,1.48E+11,8610.022043,17150760,82.055,..,..,2,7.068237194
China,3.84E+12,2870.052933,1337705000,76.207,95.12447357,3.400000095,3.56,4.97627722
Colombia,1.83E+11,3937.867201,46444798,77.14,93.37232971,3.400000095,..,6.75753712
Comoros,413107576,604.770995,683081,61.593,..,..,..,3.446466902
"Congo, Dem. Rep.",15665220568,251.8882156,62191161,50.744,..,24.20000076,..,7.023648553
"Congo, Rep.",7852666838,1909.827612,4111715,58.589,..,..,..,2.292848449
Costa Rica,25017792423,5357.490371,4669685,81.665,..,..,1.2,9.652593538
Cote d'Ivoire,18173099407,957.6589536,18976588,50.482,..,..,..,6.865629234
Croatia,45872253522,10383.55082,4417781,79.6,..,..,5.62,7.806793892
Cuba,55436887631,4913.847513,11281768,80.827,..,..,5.9,10.56363666
Curacao,..,..,149311,..,..,..,..,..
Cyprus,19207097486,23156.5376,1103685,81.438,..,..,3.52,7.359406009
Czech Republic,1.48E+11,14175.57491,10474410,80.6,..,..,7.01,7.414946284
Denmark,2.57E+11,46292.73656,5547683,81.2,..,..,3.5,11.07513645
Djibouti,905664174.7,1085.881394,834036,61.858,..,..,1.4,8.779192998
Dominica,452332573.9,6355.931456,71167,..,..,..,3.8,5.994492028
Dominican Republic,47848657632,4776.842102,10016797,76.02,89.53873444,..,1.6,5.463035926
Ecuador,48764673105,3250.745887,15001072,78.642,91.85404205,..,1.6,7.23245054
"Egypt, Arab Rep.",1.21E+11,1550.240558,78075705,72.852,72.04785156,..,1.7,4.752856538
El Salvador,18341273340,2949.613729,6218195,76.447,84.49272156,..,1,6.909356493
Equatorial Guinea,8071655046,11594.42353,696167,52.979,..,..,2.1,4.296289369
Eritrea,1056636372,184.0458298,5741159,63.575,..,..,..,3.150094245
Estonia,13897254467,10437.4881,1331475,80.5,..,..,5.33,6.282633163
Ethiopia,20402844450,234.2588969,87095281,62.898,..,..,..,4.669805236
Faeroe Islands,..,..,49581,83.9,..,..,..,..
Fiji,3032066121,3523.368091,860559,72.414,..,..,..,4.18417333
Finland,2.04E+11,38064.65332,5363352,83.2,..,..,5.85,8.988833922
France,2.20E+12,33902.48875,65023142,85.3,..,..,6.64,11.67700372
French Polynesia,..,..,268065,78.029,..,..,..,..
